R_ohm,P_mW
100.0,2.409823701165153
105.39767972822035,2.5338586991693273
111.0867089209251,2.6639435715630353
117.08281368909704,2.800337381538291
123.40256898882342,2.9433063504189447
130.0634444392364,3.0931235923866476
137.0838526135582,3.250068778995236
144.48319993674372,3.414427725934531
152.2819403304134,3.58649189402657
160.50163175336874,3.7665577959693994
169.1649957939832,3.954926299894636
178.29598047919984,4.151901820385913
187.9198264737575,4.357791387228339
198.06313685263837,4.572903581838853
208.75395063961057,4.797547331080165
220.02182031514394,5.032030548005812
231.89789350795587,5.27665860904196
244.41499909600483,5.53173265720625
257.6077379549398,5.7975477212215365
271.5125786048606,6.074390640831189
286.1679580197835,6.36253778929319
301.6143878784798,6.662252584955758
317.8945665503924,6.973782785031544
335.0534971261969,7.297357556226764
353.138611819271,7.633184318781378
372.1999030819585,7.981445362773339
392.2900617990692,8.34229423826743
413.46462294062104,8.71585192407936
435.78211907644965,9.102202783606288
459.30424217704825,9.501390320366479
484.0960141478949,9.913412750606717
510.22596656867853,10.33821841557933
537.7663301342724,10.77570106185043
566.7932343211246,11.22569502425121
597.3869178310003,11.687970352780471
629.6319503938047,12.162227931842711
663.6174665426095,12.64809464757157
699.4374120071094,13.1451186665275
737.190803406607,13.652764896624369
776.9820019603901,14.170410708558146
818.9210019721266,14.69734200307534
863.1237348857152,15.232749715892787
909.7123897530997,15.775726857701292
958.8157509999127,16.325266191163067
1010.5695544226187,16.880258649840844
1065.116862401255,17.439492605254006
1122.6084593649443,18.001654087424896
1183.2032686033726,18.565328061041853
1247.0687915764174,19.12900085343846
1314.3815709363002,19.691063821719588
1385.327678542193,20.249818334360107
1460.1032298162906,20.803482127339183
1538.9149258631753,21.350197076323887
1621.980624851049,21.888038404652512
1709.5299442342975,22.41502532209171
1801.804895482089,22.929133061879316
1899.0605530676075,23.428306253888362
2001.565759567167,23.91047354046275
2109.603868818324,24.37356330932659
2223.473529191285,24.815520385819262
2343.4895091387884,25.234323495519366
2469.9835673065436,25.628003279126553
2603.3053696094225,25.994660615335853
2743.8234558085023,26.332484985425523
2891.926258260833,26.639772596386653
3048.0231756580592,26.914943968551654
3212.5457047220125,27.15656068957381
3385.948632985606,27.36334103982032
3568.711295956224,27.53417420507546
3761.338902136763,27.66813281095693
3964.363929567069,27.764483539383775
4178.34759774619,27.822695620275827
4403.881419004319,27.842447030602468
4641.588833612777,27.823628276879976
4892.126933152033,27.7663436849679
5156.188276901594,27.670910171103653
5434.502806272786,27.53785351900805
5727.839862576538,27.367902238021085
6037.010313703756,27.161979125053
6362.868795597115,26.921190697222915
6706.316074710319,26.646814701131756
7068.3015379853405,26.340285937715134
7449.825817230663,26.003180667732323
7851.943555155049,25.637199881636246
8275.766320702956,25.244151728591593
8722.465681750427,24.825933402798718
9193.276443655257,24.384512781348498
9689.500062613693,23.921910097116577
10212.5082432593,23.440179913449903
10763.74673044854,22.941393645495573
11344.739305714942,22.42762284697596
11957.091999438964,21.900923452081074
12602.497530377337,21.363321130995917
13282.739984823986,20.816797885442316
13999.699748337049,20.26327997845554
14755.358703664753,19.704627261300793
15551.805709238663,19.142623930711736
16391.242373378453,18.57897072211118
17275.989140169768,18.015278519628193
18208.49170383826,17.45306334188759
19191.32776935102,16.89374264391831
20227.214177933605,16.33863286018554
21319.01441719964,15.788948101668705
22469.746536653198,15.245799910965012
23682.59149044462,14.710197973401959
24960.90193044159,14.18305167884504
26308.211473921994,13.66517242799891
27728.244471507223,13.157276578211876
29224.926302337208,12.659988926781905
30802.3942249458,12.173846634208903
32465.008813832217,11.699303495434146
34217.36601334139,11.236734473564875
36064.30984217447,10.78644041763482
38010.9457836481,10.348652893363965
40062.65489871691,9.923539063445373
42225.10870077182,9.511206561428354
44504.28483333239,9.11170831063849
46906.48359397072,8.72504724665932
49438.34535014348,8.351180908606944
52106.86889507574,7.990025870690211
54919.4307944356,7.64146199132158
57883.80577728085,7.3053364622992
61008.18822764358,6.981467645309687
64301.21483616161,6.669648687205175
67771.98847437253,6.369650909200794
71430.10335766556,6.081226968340384
75285.67156644912,5.804113792316833
79349.3509988459,5.538035291040008
83632.37483218501,5.282704850254488
88146.58257473113,5.037827614056679
92904.4527934864,4.8031025643828595
97919.13760853445,4.578224406471645
103204.49904927851,4.362885269980682
108775.14737307279,4.156776235891293
114646.48145217095,3.9595886995965595
120834.73134063267,3.7710155806666332
127357.00313885554,3.590752389746187
134231.3262797505,3.418498162886231
141476.7033672739,3.253956273367331
149113.16270508367,3.0968351307525674
157161.81366052452,2.946848776532843
165644.9050169821,2.8037173853087762
174585.8864759136,2.6671676800052477
184009.47347855777,2.5369332691470485
193941.7155265149,2.412754913746204
204410.06819005238,2.2943807308710267
215443.46900318822,2.181566340489992
227072.417455348,2.0740749617150804
239329.05930071522,1.9716774641135568
252247.2754183309,1.8741523793171468
265862.7754685743,1.781285877735777
280213.1966049255,1.6928717147810286
295338.2075138678,1.6087111506235081
311279.6180705332,1.5286128471489175
328081.4949132081,1.4523927454401342
345790.28325618064,1.3798739267970745
364454.9352776552,1.3108864600119914
384127.0454376358,1.2452672373448601
404860.9930998349,1.1828598013908447
426714.09285185626,1.1235141647987137
449746.75293918024,1.067086624584597
474022.64225090767,1.0134395725888101
499608.86631885933,0.962441303443448
526576.1528165439,0.9139658212542315
554999.0470707652,0.8678926460506303
584956.11812632,0.8241066209225332
616530.175933409,0.7824977206388675
649808.5002581279,0.7429608624324991
684883.0819488135,0.7053957195356947
721850.8772251754,0.6697065379604605
760814.0756931395,0.6358019569374536
801880.3828262751,0.6035948333550207
845163.3176946664,0.5730020704756305
890782.526764226,0.5439444511497982
938864.1146339077,0.5163464756969041
989540.9926250376,0.4901362045775801
1042953.2461863896,0.4652451059428887
1099248.5221306086,0.4416079081109977
1158582.436772414,0.41916245699186894
1221119.0060968,0.3978495784542793
1287031.0991463328,0.3776129456068353
1356500.915880846,0.3583989509451865
1429720.4908304699,0.34015658330106274
1506892.2239342385,0.3228373095147272
1588229.440031669,0.3063949607407074
1673956.978553886,0.29078562328695684
1764311.815044419,0.27596753387970313
1859543.716227668,0.2619009792399654
1959915.9304358843,0.2485481998528143
2065705.9153031833,0.23587329780684066
2177206.1047381517,0.22384214857874196
2294724.717295179,0.21242231663635633
2418586.6081790826,0.2015829747327166
2549134.1672382173,0.19129482676366685
2686728.265428373,0.1815300340621688
2831749.2523637665,0.17226214500355028
2984598.007712637,0.1634660277975208
3145697.0493438104,0.15511780634473968
3315491.701287467,0.14719479903799915
3494451.3247386888,0.1396754603906292
3683070.6155066364,0.13253932537749047
3881870.9714958863,0.12576695637684868
4091401.93399999,0.1193398926044929
4312242.706791523,0.1132406019346172
4545003.757207669,0.10745243500522488
4790328.503657321,0.10195958150908968
5048895.094214394,0.09674702857460782
5321418.281213916,0.09180052114418083
5608651.397032811,0.08710652426105592
5911388.436516998,0.08265218717881372
6230466.251811239,0.0784253092109136
6566766.865658864,0.07441430724087793
6921219.909566023,0.07060818481680872
7294805.19357022,0.06699650275697652
7688555.414716724,0.063569351196196
8103559.011729877,0.06031732300560102
8540963.173770411,0.05723148852125127
9001977.011595782,0.05430337151973997
9487874.899889745,0.051524926381622135
10000000.0,0.04888851638605502
