Omega,P_up_norm,P_down_norm,P_linear_norm,xpp_up,xpp_down
0.3,0.0006830807024429251,0.0017106216719843493,0.0005371537594107564,0.308132244188714,0.6873013930871761
0.3164556962025316,0.00197980070949918,0.002058420626281658,0.0005547634873954433,0.5508484931372818,0.5576764904036202
0.3329113924050633,0.0007258148851314923,0.000984892891423887,0.0005678606534603201,0.3037124374209076,0.47943624818626585
0.3493670886075949,0.000698488052972794,0.060713685099475695,0.0005822574049646983,0.2733022391426606,3.406945231939753
0.3658227848101266,0.0007299383254773794,0.07576214933662023,0.0005971170169995364,0.28004855784007854,3.318177712257091
0.3822784810126582,0.0007788415424763719,0.07974967648892575,0.0006232333820080164,0.2874128294755032,3.387011930457145
0.3987341772151899,0.0008683154901745829,0.06099931613387798,0.0006494721003846897,0.2950845909048574,3.4761345528899055
0.4151898734177215,0.0009744181474680922,0.056454877691126566,0.0006781887232854622,0.30418859978512147,3.3751250555020644
0.43164556962025313,0.001259916500560828,0.07738241304960358,0.0006976610141202526,0.3576741650704569,3.540701359306502
0.4481012658227848,0.005479003674210747,0.005462611518001381,0.0007162771009193131,0.8853468624751499,0.8764845244949093
0.4645569620253165,0.004035901948305288,0.004035280110561841,0.0007381906135690891,0.7740343668223264,0.7954603402073025
0.4810126582278481,0.0025326899945326805,0.0027441370607353232,0.0007680790851413385,0.6998842406562253,0.6357382561909857
0.49746835443037973,0.001594273819559391,0.0015426204521990893,0.0008112971993820942,0.494288352423652,0.4952689817661624
0.5139240506329114,0.0011298547606248678,0.0013033896614380136,0.0008522872657131346,0.385009842094736,0.51423698129419
0.530379746835443,0.0009901259134569697,0.08419732411954071,0.0009022927493272133,0.36424719672549577,3.3108592885549966
0.5468354430379747,0.0862252548085065,0.0857692640266492,0.00094282519132121,3.39576331606159,3.394850673603686
0.5632911392405063,0.0012643527449377214,0.08857970838529887,0.0010014477900244052,0.4949234649311498,3.3935013430547416
0.579746835443038,0.09094197915349457,0.0916962063378687,0.00105913092714421,3.5026533963375233,3.4255738522938373
0.5962025316455697,0.0946056856251665,0.09504381781797308,0.0011360645303617424,3.435550611967748,3.404300940992382
0.6126582278481012,0.09772117409248954,0.0975161144232167,0.0012109468679560003,3.453410863821475,3.41517552497742
0.6291139240506329,0.09890367854662024,0.09911813213624446,0.001289910535679123,3.459673938520579,3.4438594618190588
0.6455696202531646,0.10033429959485739,0.10056598324163445,0.0013816195238388173,3.471516921521941,3.4887534435098977
0.6620253164556962,0.10275010776316462,0.10281436560431706,0.001479397198587158,3.500792629986928,3.528021727045731
0.6784810126582279,0.10592777259412332,0.1058751121998341,0.001628121828100605,3.547265463494174,3.5724188672668804
0.6949367088607594,0.10941320777445175,0.10939493504870103,0.001776855519952284,3.5885023875291213,3.6264525961355796
0.7113924050632912,0.1127199079771812,0.11263462009630906,0.0019919027520506247,3.630906944210483,3.660542284451431
0.7278481012658228,0.11511950824439496,0.11457805580850557,0.002186261447386737,3.6745172113532902,3.872892028094057
0.7443037974683544,0.11762956618795012,0.11747846139758408,0.0024621725399554964,3.7192586092401685,3.684253202449961
0.7607594936708861,0.12074433525368816,0.06435889282340598,0.0027501944119683857,3.77603673078556,3.2888934873324205
0.7772151898734178,0.12224656246681716,0.1238445755360625,0.0031511316968389066,3.8619294807494002,3.7678014534001107
0.7936708860759494,0.1261029168613408,0.12662601261474588,0.0036525524499346406,3.81889220817617,3.8203015078733973
0.8101265822784811,0.1294429814145408,0.06066618345243764,0.004250747240374923,3.836443202906674,3.115068790601951
0.8265822784810126,0.13169271225457901,0.060409050393323976,0.005120715077381266,3.8572445956559447,2.9871691464935894
0.8430379746835444,0.13410650102749977,0.03694610932177605,0.006080424725010284,3.8759119752464617,3.011853598662034
0.8594936708860759,0.13752862428764198,0.0678984293778767,0.007787499000488241,3.9129782065048344,3.238708160909461
0.8759493670886076,0.14158196521950325,0.06401252763509631,0.00978356601032664,3.9690746082334556,3.2152017313849273
0.8924050632911393,0.14571963056830672,0.07151216271733156,0.013706738989191915,4.020811427633998,2.9517705753672656
0.9088607594936708,0.14923407100412875,0.04858521799933394,0.01907266462608222,4.068248734752686,3.0962714368728768
0.9253164556962026,0.15183104519050536,0.03518257366884345,0.030437624370996664,4.110156078995706,3.1293134754951706
0.9417721518987343,0.06050173097264708,0.0598215709875982,0.05393272407407914,3.0865741707724337,3.05808725243576
0.9582278481012658,0.0547721697015177,0.007676200476596831,0.11925830075333593,3.1397829244671547,0.8767810843807968
0.9746835443037976,0.007167724727318543,0.007338538553238896,0.5148104306286537,0.9656295034642062,1.0331609889937785
0.9911392405063291,0.06180716595716645,0.056616997832633506,1.0,2.9657035921228525,3.076433554275044
1.0075949367088608,0.04123452355988957,0.006012249847984345,0.2065046355630623,2.922465348122463,0.7768972613216414
1.0240506329113925,0.005476539958889963,0.005495711110547628,0.07901644663281084,0.7345842302103006,0.7339047249246246
1.040506329113924,0.004937932767913976,0.004914484173019223,0.035199594981315,0.7087994736619563,0.754769730591014
1.0569620253164558,0.0044630866264981665,0.06237565035070448,0.02181676140851919,0.6631109513810417,3.1119013156915143
1.0734177215189873,0.004016405408161941,0.040494707561966325,0.013510819625557589,0.6874268380823721,3.0068320792275514
1.089873417721519,0.04521389884867947,0.05737257261284621,0.00968641574086268,3.0996543408131885,3.09234370947335
1.1063291139240508,0.003171862188526736,0.004781285065386142,0.006983900863989925,0.5588508659909199,1.05756885102566
1.1227848101265823,0.003006229836494248,0.002820561153737829,0.005299824547627359,0.707955004838178,0.5446161913490721
1.139240506329114,0.003382918364255337,0.005260427844028957,0.004156826945615495,0.8700904174172864,0.9305942915108667
1.1556962025316455,0.002177329783217499,0.002219446310849349,0.0032747105133768516,0.545188094817237,0.5258045419560307
1.1721518987341772,0.0019526153379252342,0.001935710003952176,0.002732239861272559,0.48274920479186556,0.49094753992497864
1.188607594936709,0.0017100177135556218,0.001718284262689312,0.002234216456605433,0.4686941507863214,0.4400909725861861
1.2050632911392405,0.0015405261317465342,0.001513063192763748,0.0019292541058617315,0.453645647194979,0.3871420860495479
1.2215189873417722,0.0013543155829943143,0.0013434865389282751,0.001615955814069267,0.39297081456759453,0.3673127015557911
1.2379746835443037,0.0011919188651868503,0.001192136134274748,0.0014090389894167237,0.34797561468967486,0.36903360309635624
1.2544303797468355,0.0010565056739437779,0.0010672358959859932,0.0012081797539710774,0.32596988240639,0.3647096226110008
1.2708860759493672,0.0009440182393427041,0.0009512609235029143,0.0010621211939232274,0.3281818793582608,0.34473280050293587
1.2873417721518987,0.0008644058682718345,0.0008595981920817281,0.0009357613470749269,0.33213504752608436,0.3375707809027879
1.3037974683544304,0.000769905308377571,0.0007808236107783334,0.0008256213907884138,0.31854685522212545,0.32508167683847433
1.3202531645569622,0.0007018721382893748,0.000698352458812088,0.0007397403814149682,0.31268233698002823,0.30669611421308696
1.3367088607594937,0.0006297595251660299,0.0006241016088472546,0.0006535075390977523,0.29556482242893456,0.28683239911526726
1.3531645569620254,0.0005759875639622544,0.000569686271601371,0.0005942459303595411,0.2851643327499416,0.2752394977442606
1.3696202531645572,0.0005162352445239923,0.0005141501690361998,0.0005313075221156198,0.26307964186388244,0.25568119453284166
1.3860759493670887,0.00047904599184957626,0.0004727932620245339,0.0004888869463781027,0.2519722656758039,0.23549476265906133
1.4025316455696204,0.00043206837600615934,0.0004259231732285112,0.0004416797679887802,0.23548096573476585,0.2072542045412522
1.418987341772152,0.00039545676111141855,0.00039005452365241085,0.0004053654933710397,0.2177831538551913,0.1986095788351
1.4354430379746836,0.00035683566988964355,0.0003611476493711146,0.0003686740310165322,0.19207387851730107,0.20677555664080016
1.4518987341772154,0.0003275314131534961,0.00034199263024065844,0.00033765412711481255,0.1816137054402719,0.2216989386443191
1.4683544303797469,0.00030586203810546025,0.000310324877980675,0.00031170836007011674,0.19269263906335732,0.2048862538090387
1.4848101265822786,0.0002876777770818184,0.00029031144678428125,0.00028658119163003725,0.19654097310319563,0.19710062126370054
1.5012658227848101,0.00026610382089933214,0.0002641495462153429,0.00026744172498485924,0.18983508979519725,0.1869312595544631
1.5177215189873419,0.0002505792827857292,0.0002488269854570103,0.0002456620522502916,0.1860606182387461,0.182818052627451
1.5341772151898736,0.00022793794965149993,0.00022891891166604335,0.00022977597394496476,0.1765030154083299,0.1784163439434946
1.5506329113924051,0.00021504079419738296,0.00021526610751938053,0.00021181883569947656,0.17021313020469708,0.17570751202313128
1.5670886075949368,0.0001996737875524085,0.00019914093852966267,0.00019893316115179055,0.16678827382644223,0.1625209714713005
1.5835443037974686,0.00018819485425093993,0.0001847827207064455,0.00018511379114081962,0.1644435269910277,0.15164161429253054
1.6,0.00017559188416625034,0.00017174108434741745,0.00017360701712333245,0.1555080471552075,0.1384900596650479
